[2025-06-21 03:13:18,667] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password 408110T67OC37Z9 --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log-location /factorio --start-server /factorio/saves/default_save.zip
[2025-06-21 03:13:18,668] INFO: Factorio server started with PID 4453
[2025-06-21 03:14:18,666] INFO: Checking for Factorio server updates...
[2025-06-21 03:14:19,422] INFO: Checking if players are online...
[2025-06-21 03:14:19,423] INFO: Stopping Factorio server to update files...
[2025-06-21 03:14:19,423] INFO: Stopping Factorio server with PID 4453
[2025-06-21 03:15:19,421] INFO: Finished waiting for Factorio server to stop.
[2025-06-21 03:15:19,421] INFO: Current version 2.0.54 does not match expected version stable.
[2025-06-21 03:15:19,422] INFO: Updating Factorio server files...
[2025-06-21 03:15:19,422] INFO: Backing up Factorio server files to /tmp/factorio_backup/
[2025-06-21 03:15:22,629] INFO: Backup completed successfully to /tmp/factorio_backup/
[2025-06-21 03:15:22,630] INFO: Removing old Factorio directory
[2025-06-21 03:17:18,309] INFO: Manager initialized successfully.
[2025-06-21 03:17:18,309] INFO: Factorio server files not found, downloading...
[2025-06-21 03:17:18,314] INFO: Pulling factorio files for version 2.0.54
[2025-06-21 03:17:29,244] INFO: Factorio server files downloaded to /tmp/factorio_downloads/factorio.tar.xz
[2025-06-21 03:17:29,255] INFO: Installing Factorio server files from /tmp/factorio_downloads/factorio.tar.xz to /opt/factorio
[2025-06-21 03:17:34,954] INFO: Creating necessary directories in /opt/factorio
[2025-06-21 03:17:34,958] INFO: Setting permissions for Factorio server files in /opt/factorio and /factorio
[2025-06-21 03:17:35,041] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 03:17:37,140] INFO: Factorio Created Save with name: default_save
[2025-06-21 03:17:37,141] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 03:17:37,141] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password 408110T67OC37Z9 --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log-location /factorio --start-server /factorio/saves/default_save.zip
[2025-06-21 03:17:37,142] INFO: Factorio server started with PID 5209
[2025-06-21 03:18:37,140] INFO: Checking for Factorio server updates...
[2025-06-21 03:18:37,915] INFO: Checking if players are online...
[2025-06-21 03:18:37,916] INFO: Stopping Factorio server to update files...
[2025-06-21 03:18:37,916] INFO: Stopping Factorio server with PID 5209
[2025-06-21 03:19:37,914] INFO: Finished waiting for Factorio server to stop.
[2025-06-21 03:19:37,914] INFO: Current version 2.0.54 does not match expected version stable.
[2025-06-21 03:19:37,915] INFO: Updating Factorio server files...
[2025-06-21 03:19:37,915] INFO: Backing up Factorio server files to /tmp/factorio_backup/
[2025-06-21 03:19:40,774] INFO: Backup completed successfully to /tmp/factorio_backup/
[2025-06-21 03:19:40,775] INFO: Removing old Factorio directory
[2025-06-21 03:19:41,118] INFO: Pulling factorio files for version 2.0.54
[2025-06-21 03:19:52,579] INFO: Factorio server files downloaded to /tmp/factorio_downloads/factorio.tar.xz
[2025-06-21 03:19:52,590] INFO: Installing Factorio server files from /tmp/factorio_downloads/factorio.tar.xz to /opt/factorio
[2025-06-21 03:19:58,241] INFO: Restoring Factorio server files from backup /tmp/factorio_backup/ to /opt/factorio
[2025-06-21 03:20:06,484] INFO: Setting permissions for Factorio server files in /opt/factorio and /factorio
[2025-06-21 03:20:07,463] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 03:20:09,485] INFO: Factorio Created Save with name: default_save
[2025-06-21 03:20:09,485] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 03:20:09,486] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password 408110T67OC37Z9 --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log-location /factorio --start-server /factorio/saves/default_save.zip
[2025-06-21 03:20:09,487] INFO: Factorio server started with PID 5951
[2025-06-21 03:22:17,561] INFO: Manager initialized successfully.
[2025-06-21 03:22:17,561] INFO: Factorio server is not running, starting...
[2025-06-21 03:22:17,562] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 03:22:19,957] INFO: Factorio Created Save with name: default_save
[2025-06-21 03:22:19,958] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 03:22:19,959] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password 408110T67OC37Z9 --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log /factorio/factorio-console.log --start-server /factorio/saves/default_save.zip
[2025-06-21 03:22:19,960] INFO: Factorio server started with PID 6827
[2025-06-21 03:23:19,959] INFO: Checking for Factorio server updates...
[2025-06-21 03:24:40,708] INFO: Checking for Factorio server updates...
[2025-06-21 03:26:01,430] INFO: Checking for Factorio server updates...
[2025-06-21 03:27:22,126] INFO: Checking for Factorio server updates...
[2025-06-21 03:28:42,806] INFO: Checking for Factorio server updates...
[2025-06-21 03:30:03,504] INFO: Checking for Factorio server updates...
[2025-06-21 03:31:24,172] INFO: Checking for Factorio server updates...
[2025-06-21 03:32:44,853] INFO: Checking for Factorio server updates...
[2025-06-21 03:34:05,534] INFO: Checking for Factorio server updates...
[2025-06-21 03:35:26,187] INFO: Checking for Factorio server updates...
[2025-06-21 03:36:46,840] INFO: Checking for Factorio server updates...
[2025-06-21 03:38:07,671] INFO: Checking for Factorio server updates...
[2025-06-21 03:39:28,353] INFO: Checking for Factorio server updates...
[2025-06-21 03:40:49,049] INFO: Checking for Factorio server updates...
[2025-06-21 03:42:09,727] INFO: Checking for Factorio server updates...
[2025-06-21 03:43:30,417] INFO: Checking for Factorio server updates...
[2025-06-21 03:44:51,085] INFO: Checking for Factorio server updates...
[2025-06-21 03:46:11,768] INFO: Checking for Factorio server updates...
[2025-06-21 03:47:32,448] INFO: Checking for Factorio server updates...
[2025-06-21 03:48:53,144] INFO: Checking for Factorio server updates...
[2025-06-21 03:49:47,524] INFO: Manager initialized successfully.
[2025-06-21 03:49:47,524] INFO: Factorio server is not running, starting...
[2025-06-21 03:49:47,525] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 03:49:49,462] INFO: Factorio Created Save with name: default_save
[2025-06-21 03:49:49,463] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 03:49:49,463] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password 408110T67OC37Z9 --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log /factorio/factorio-console.log --start-server /factorio/saves/default_save.zip
[2025-06-21 03:49:49,465] INFO: Factorio server started with PID 7828
